,channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber,e_m_lower,e_m_upper,e_y_lower,e_y_upper,age,v_per_view,age_cate
465,Entertainment,CA,2010-04-09,$24.7K - $395.1K,$296.3K - $4.7M,A,12.0,227949,11019921,2185,4418838990,0,98769300,MrSuicideSheep,24700.0,395100.0,296300.0,4700000.0,8,2022351.9405034324,1
466,Entertainment,US,2015-12-01,$32.2K - $515.1K,$386.3K - $6.2M,A,-4.0,1490190,13679277,195,1113000045,9,128781600,James Charles,32200.000000000004,515100.0,386300.0,6200000.0,3,5707692.538461538,0
467,Entertainment,ID,2014-01-26,$17.3K - $276.2K,$207.2K - $3.3M,A,22.0,1185175,9320368,368,700876581,-4,69058500,Atta Halilintar,17300.0,276200.0,207200.0,3300000.0,4,1904555.9266304348,1
468,Entertainment,US,2007-02-28,$19.2K - $306.8K,$230.1K - $3.7M,A,72.0,85468,5859014,1334,4765947355,63,76694100,Vat19,19200.0,306800.0,230100.0,3700000.0,11,3572674.17916042,2
469,Entertainment,KR,2011-12-26,$25.2K - $403.3K,$302.5K - $4.8M,A,7.0,62506,1249541,44863,2443451235,28,100824600,MBCClassic,25200.0,403300.0,302500.0,4800000.0,7,54464.73118159731,1
470,Entertainment,VN,2017-03-16,$26.3K - $421K,$315.7K - $5.1M,A,26.0,253309,2933629,427,1072788379,6,105244500,PHD Troll,26300.0,421000.0,315700.0,5100000.0,1,2512384.962529274,0
471,Entertainment,BR,2013-04-02,$27.3K - $437K,$327.7K - $5.2M,A,-13.0,396800,9142200,779,1731972099,6,109239300,Gato Galactico,27300.0,437000.0,327700.0,5200000.0,5,2223327.4698331193,1
472,Entertainment,US,2010-11-25,$23.3K - $372.1K,$279.1K - $4.5M,A,19.0,129236,4127671,3358,4169342596,42,93018300,Neo-Saban Power Rangers,23300.0,372100.0,279100.0,4500000.0,8,1241614.8290649196,1
473,Entertainment,GB,2005-11-12,$24K - $384.5K,$288.4K - $4.6M,A,38.0,143150,5716570,23016,5284813431,40,96126600,BBC,24000.0,384500.0,288400.0,4600000.0,13,229614.76498957246,2
474,Entertainment,US,2006-11-21,$29.7K - $475.5K,$356.6K - $5.7M,A,-41.0,310445,17887690,3141,5323403972,-17,118881000,The Late Late Show with James Corden,29700.0,475500.0,356600.0,5700000.0,12,1694811.8344476281,2
475,Entertainment,VN,2015-10-25,$26.8K - $429.2K,$321.9K - $5.2M,A,1.0,217902,1887222,553,736836703,26,107293800,Hành Tinh Đồ Chơi - Toy Planet,26800.0,429200.0,321900.0,5200000.0,3,1332435.267631103,0
